,state,date,value
1595,NY,20170110,117660.02159064052
1596,NY,20170111,105359.27802676131
1597,NY,20170112,115548.70135724399
1598,NY,20170113,101064.98830871462
1599,NY,20170114,133506.36507270872
1600,NY,20170115,162443.5711101965
1601,NY,20170116,127499.29510009866
1602,NY,20170117,123793.56471174359
1603,NY,20170118,185940.93664178022
1604,NY,20170119,150551.7544710754
1605,NY,20170120,131300.52708929026
1606,NY,20170121,141982.8472951339
1607,NY,20170122,162811.15780462322
1608,NY,20170123,159762.2257642329
1609,NY,20170124,206139.82939757747
1610,NY,20170125,157988.4030006976
1611,NY,20170126,163118.69090784548
1612,NY,20170127,147297.54740772632
1613,NY,20170128,149068.7524348294
1614,NY,20170129,122851.23421305613
1615,NY,20170130,189993.08385707173
1616,NY,20170131,145723.70809542574
1617,NY,20170201,144557.8203354888
1618,NY,20170202,159209.1601214087
1619,NY,20170203,131960.34864315743
1620,NY,20170204,182999.3302798451
1621,NY,20170205,174038.10920598407
1622,NY,20170206,197473.87562408077
1623,NY,20170207,169934.51783991195
1624,NY,20170208,139533.5654312124
1625,NY,20170209,147965.17248863078
1626,NY,20170210,146936.67131085973
1627,NY,20170211,147178.7135959264
1628,NY,20170212,153333.34276106456
1629,NY,20170213,146128.05406101135
1630,NY,20170214,132294.13305841535
1631,NY,20170215,129420.23427826595
1632,NY,20170216,139579.70096853358
1633,NY,20170217,134198.29194381405
1634,NY,20170218,99002.11952674856
1635,NY,20170219,102616.88369927598
1636,NY,20170220,126322.5015418518
1637,NY,20170221,119039.31519084785
1638,NY,20170222,116477.86800537574
1639,NY,20170223,96163.00463475802
1640,NY,20170224,99508.47068012356
1641,NY,20170225,89411.2754898532
1642,NY,20170226,90539.57678834813
1643,NY,20170227,105317.69452850807
1644,NY,20170228,93614.30428210422
1645,NY,20170301,90583.17484242526
1646,NY,20170302,63177.24433746603
1647,NY,20170303,61951.29190132625
1648,NY,20170304,55656.89579651524
1649,NY,20170305,101039.70315240882
1650,NY,20170306,113442.71073400957
1651,NY,20170307,147277.52260955574
1652,NY,20170308,95707.7832701322
1653,NY,20170309,77287.49244570636
1654,NY,20170310,84663.89085194553
1655,NY,20170311,82912.35665588871
1656,NY,20170312,93190.35837113853
1657,NY,20170313,78850.6781086209
1658,NY,20170314,63542.20974004488
1659,NY,20170315,88734.926017176
1660,NY,20170316,92724.84404610805
1661,NY,20170317,68112.38576395117
1662,NY,20170318,75325.87646634824
1663,NY,20170319,93661.73942295492
1664,NY,20170320,100126.42511803671
1665,NY,20170321,83353.8194379346
1666,NY,20170322,71200.18876340194
1667,NY,20170323,74828.41911559414
1668,NY,20170324,90251.74610664372
1669,NY,20170325,123663.00905665467
1670,NY,20170326,111229.08632023727
1671,NY,20170327,123638.78423807154
1672,NY,20170328,136325.58417802947
1673,NY,20170329,121585.16817735661
1674,NY,20170330,96016.26027750409
1675,NY,20170331,82990.2825442911
1676,NY,20170401,91307.3571673548
1677,NY,20170402,117739.06764331419
1678,NY,20170403,138181.03296629907
1679,NY,20170404,145975.47668648252
1680,NY,20170405,150642.09958528884
1681,NY,20170406,150648.59341356813
1682,NY,20170407,84004.78557253469
